product_number,department_desc,avg_elasticity,total_orders,avg_discount
2523,MENS OWN BRAND TOPS,1.5065262234964332,1328,37.688311688311686
2529,MENS OWN BRAND TOPS,1.9282416642918234,332,21.32034632034632
2540,MENS OWN BRAND TOPS,1.0215637150291765,535,15.714285714285715
2548,MENS OWN BRAND TOPS,1.2914913285201828,2062,26.141002506265664
2564,MENS OWN BRAND FOOTWEAR,1.5291840890354864,495,47.727818740399385
2566,MENS OWN BRAND FOOTWEAR,145277407334532.12,345,18.361290322580647
2588,MENS BRANDED CLOTHING,75059993789508.42,1197,22.19528598095238
2589,MENS BRANDED CLOTHING,99730061678368.12,659,15.395858828282828
2604,MENS BRANDED CLOTHING,1.1680617249758591,2277,26.08741167434716
2625,MENS OWN BRAND KNITWEAR,1.6736438884990208,1542,21.42795686147186
2628,MENS OWN BRAND KNITWEAR,1.5061859584089803,1126,16.777030545454547
2634,MENS OWN BRAND KNITWEAR,1563749870614756.0,752,16.538333333333334
2637,MENS OWN BRAND KNITWEAR,2.2173409846698258,1307,17.016806957983192
2641,MENS OWN BRAND KNITWEAR,1.8646044785783857,1683,22.282913224089636
2656,MENS OWN BRAND DENIM,12509998964921.857,1168,14.426762021428571
2657,MENS OWN BRAND KNITWEAR,1.180982397646498,906,21.095238095238095
2666,MENS BRANDED CLOTHING,1.0998631474699176,393,29.8853651015873
2671,MENS BRANDED CLOTHING,1.4727750217938236,1755,31.076037011520736
2712,MENS BRANDED CLOTHING,7.004482633476401,1132,27.990793835978838
2740,MENS BRANDED CLOTHING,95821268667457.47,490,12.649027504559271
2747,MENS OWN BRAND TOPS,2.1474379837612334,4053,16.91457409273183
2754,MENS OWN BRAND TOPS,450359962737049.44,2010,17.583035814285715
2765,MENS OWN BRAND TOPS,3.844715306207212,1976,27.02142867142857
2773,MENS OWN BRAND TOPS,331863726019777.4,3212,12.99994623655914
2774,MENS OWN BRAND TOPS,63099884888977.61,1904,18.55522463265306
2775,MENS OWN BRAND TOPS,1.3176153441296885,1567,12.284033701680672
2777,MENS OWN BRAND TOPS,2.280363297185486,1661,19.597873082539685
2778,MENS OWN BRAND TOPS,1.4975993129221643,1841,24.708920634920634
2797,MENS OWN BRAND TOPS,177919985278834.34,465,30.599999999999998
2799,MENS OWN BRAND TOPS,1.288355011727155,1732,20.010070694885364
2801,MENS OWN BRAND TOPS,1.6620246437069792,271,17.58375
