department_desc,avg_elasticity,total_orders,avg_discount,elastic_products_count,type,product_number
MENS BRANDED CLOTHING,3.0350259265059982,298,27.4608064516129,,product,415.0
MENS BRANDED CLOTHING,8.020581858509344,53,20.58588325652842,,product,416.0
MENS BRANDED CLOTHING,4.696065043780164,110,34.92831541218638,,product,418.0
MENS BRANDED FOOTWEAR,3.580496863380807,120,26.8485,,product,420.0
MENS OWN BRAND OUTERWEAR,13.930948471342484,188,18.2258064516129,,product,421.0
MENS OWN BRAND OUTERWEAR,7.446428571428544,15,65.0,,product,422.0
MENS OWN BRAND KNITWEAR,1.799107142857143,5,21.169354838709676,,product,424.0
MENS OWN BRAND KNITWEAR,1.7089086578769688,160,28.05333333333333,,product,425.0
MENS OWN BRAND KNITWEAR,1.364088287930006,116,1.6071428571428572,,product,426.0
MENS OWN BRAND KNITWEAR,2.0909090909090913,0,12.173913043478262,,product,427.0
MENS OWN BRAND OUTERWEAR,29.68042701224111,173,32.962833333333336,,product,428.0
MENS OWN BRAND OUTERWEAR,1.9756453181421838,48,32.83064516129032,,product,430.0
MENS BRANDED CLOTHING,2.61734391234677,24,50.949666666666666,,product,431.0
MENS OWN BRAND KNITWEAR,1.0922625109770967,25,6.409230769230769,,product,432.0
MENS OWN BRAND KNITWEAR,3.0202714186624435,485,1.3473333333333335,,product,434.0
MENS OWN BRAND KNITWEAR,9.381660768934536,508,44.38209677419355,,product,435.0
MENS OWN BRAND KNITWEAR,1.958516185775547,423,10.660666666666666,,product,437.0
MENS OWN BRAND KNITWEAR,1.6152817689579488,640,10.587166666666665,,product,438.0
MENS OWN BRAND KNITWEAR,6.751999088612967,716,16.049608294930874,,product,439.0
MENS OWN BRAND KNITWEAR,3.469146486234704,756,24.576129032258063,,product,440.0
MENS OWN BRAND KNITWEAR,1.9762439304547592,218,20.129032258064516,,product,441.0
MENS OWN BRAND KNITWEAR,2.5621754672018064,452,20.265806451612903,,product,442.0
MENS OWN BRAND KNITWEAR,1.3113058113058111,68,7.0,,product,443.0
MENS OWN BRAND KNITWEAR,1.6485351079938477,588,21.742924731182796,,product,444.0
